Back,,,,Chrome,Firefox,IE,,,,,,
ID_423,,"Kiểm tra chọn dữ liệu ở cbo ""Tổ chức xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn multi ""Tổ chức xuất hàng"" = A, B",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_424,,"Kiểm tra search placeholder trong cbo ""Tổ chức xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Tổ chức xuất hàng""","Placeholder ""Tìm theo mã tổ chức xuất hàng hoặc tên tổ chức xuất hàng""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_425,,"Kiểm tra dữ liệu load ở cbo ""Kho xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Kho xuất hàng""","- Dữ liệu load từ màn hình ""Danh sách kho"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Đang hoạt động
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_inventoríes
+ Schemas: bhc
+ Tables: warehouses
+ WHERE:
     ++ ""activated"" = true
     ++ ""is_deleted"" = false <chưa có field này>",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_426,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Kho xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Kho xuất hàng""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_inventoríes
+ Schemas: bhc
+ Tables: warehouses
+ WHERE:
     ++ ""activated"" = true
     ++ ""is_deleted"" = false <chưa có field này>
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,"SELECT * FROM bhc.warehouses WHERE ""activated"" = 'true' ORDER BY ""created_at"" DESC"
ID_427,,"Kiểm tra chọn dữ liệu ở cbo ""Kho xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn multi ""Kho xuất hàng"" = A, B",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_428,,"Kiểm tra search placeholder trong cbo ""Kho xuất hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Kho xuất hàng""","Placeholder ""Tìm theo mã kho xuất hàng hoặc tên kho xuất hàng""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_429,,"Kiểm tra dữ liệu load ở cbo ""Địa chỉ giao hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Địa chỉ giao hàng""","- Dữ liệu load từ màn hình ""<<chưa có table> Customer Address>"" được chọn: Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ WHERE: ""enabled"" = false",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_430,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Địa chỉ giao hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Địa chỉ giao hàng""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_431,,"Kiểm tra chọn dữ liệu ở cbo ""Địa chỉ giao hàng""
Group 5 ""Thông tin vận chuyển""","Chọn multi ""Địa chỉ giao hàng"" = A, B",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_432,,"Kiểm tra search placeholder trong cbo ""Địa chỉ giao hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Địa chỉ giao hàng""","Placeholder ""Tìm theo mã địa chỉ giao hàng hoặc tên địa chỉ giao hàng""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_433,,"Kiểm tra dữ liệu load ở cbo ""Người nhận hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Người nhận hàng""","- Dữ liệu load từ màn hình ""Khách hàng"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active => Hỏi có where theo ""Loại khách hàng"" ko, vd: khách hàng cá nhân, nhà bán lẻ, nhà phân phối => CONFIRM??
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customer
+ Schemas: bhc
+ Table: ""customers""
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""IsDeleted"" = false
+ ORDER BY ""CreatedAt"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_434,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Người nhận hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Người nhận hàng""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customer
+ Schemas: bhc
+ Table: ""customers""
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""IsDeleted"" = false
+ ORDER BY ""CreatedAt"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_435,,"Kiểm tra chọn dữ liệu ở cbo ""Người nhận hàng""
Group 5 ""Thông tin vận chuyển""","Chọn multi ""Người nhận hàng"" = A, B",Single-select (cbo có search),7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_436,,"Kiểm tra search placeholder trong cbo ""Người nhận hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Người nhận hàng""","Placeholder ""Tìm theo mã người nhận hàng hoặc tên người nhận hàng"" => NẾU LẤY TỪ CUSTOMER THÌ NÊN CHUNG 1 PLACEHOLDER",7-Apr-26,,,,,7-Apr-26,DUYENNTM,
ID_437,,"Kiểm tra dữ liệu load ở cbo ""Phương thức giao hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Phương thức giao hàng""","- Dữ liệu load theo: <Danh sách tùy chỉnh, hardcode>
- Dropdown load 2 giá trị:
+ ""Value"" - ""Enum Code"" = Ton (Tính theo khối lượng) - TON
+ ""Value"" - ""Enum Code"" = Trip (Tính theo chuyến) - TRIP",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_438,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Phương thức giao hàng""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Phương thức giao hàng""",Dữ liệu bên trong cbo được sắp xếp theo thứ tự alphabet,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_439,,"Kiểm tra hiển thị dữ liệu trong cbo ""Phương thức giao hàng""
Group 5 ""Thông tin vận chuyển""","Chọn ""Phương thức giao hàng"" = Tính theo khối lượng, Tính theo chuyến",Single select dropdown (cbo ko có search),7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_440,,"Kiểm tra dữ liệu load ở cbo ""Xe vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Xe vận chuyển""","- Dữ liệu load từ màn hình ""<chưa có> => <Truck Load>"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ WHERE: ""enabled"" = false",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_441,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Xe vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Xe vận chuyển""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_customers
+ Schemas: bhc
+ Tables: employees
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_442,,"Kiểm tra chọn dữ liệu ở cbo ""Xe vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn multi ""Xe vận chuyển"" = A, B",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_443,,"Kiểm tra search placeholder trong cbo ""Xe vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Xe vận chuyển""","Placeholder ""Tìm theo mã vận chuyển hoặc tên vận chuyển""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_444,,"Kiểm tra dữ liệu load ở cbo ""Đơn vị vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Đơn vị vận chuyển""","- Dữ liệu load từ màn hình ""Đơn vị"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: unit
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_445,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Đơn vị vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Đơn vị vận chuyển""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: unit
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_446,,"Kiểm tra chọn dữ liệu ở cbo ""Đơn vị vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn multi ""Đơn vị vận chuyển"" = A, B",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_447,,"Kiểm tra search placeholder trong cbo ""Đơn vị vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Đơn vị vận chuyển""","Placeholder ""Tìm theo mã vận chuyển hoặc tên vận chuyển""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_448,,"Kiểm tra dữ liệu load ở cbo ""Đối tác vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Đối tác vận chuyển""","- Dữ liệu load từ màn hình ""<Shipping Provider>"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: unit
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_449,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Đối tác vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Đối tác vận chuyển""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: unit
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_450,,"Kiểm tra chọn dữ liệu ở cbo ""Đối tác vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn multi ""Đối tác vận chuyển"" = A, B",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_451,,"Kiểm tra search placeholder trong cbo ""Đối tác vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Đối tác vận chuyển""","Placeholder ""Tìm theo mã đối tác vận chuyển hoặc tên đối tác vận chuyển""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_452,,"Kiểm tra dữ liệu load ở cbo ""Bảng giá vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Bảng giá vận chuyển""","- Dữ liệu load từ màn hình ""<Shipping Price List>"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: unit
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false <màn hình hiện tại chỉ view>",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_453,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Bảng giá vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Bảng giá vận chuyển""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: unit
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false <màn hình hiện tại chỉ view>
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_454,,"Kiểm tra chọn dữ liệu ở cbo ""Bảng giá vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn multi ""Bảng giá vận chuyển"" = A, B",Single-select (cbo có search),7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_455,,"Kiểm tra search placeholder trong cbo ""Bảng giá vận chuyển""
Group 5 ""Thông tin vận chuyển""","Chọn cbo ""Bảng giá vận chuyển""","Placeholder ""Tìm theo mã bảng giá vận chuyển hoặc tên bảng giá vận chuyển""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_456,,"Kiểm tra dữ liệu load ở cbo ""Phương thức bốc xếp""
Group 6 ""Thông tin bốc xếp""","Chọn cbo ""Phương thức bốc xếp""","- Dữ liệu load theo: <Danh sách tùy chỉnh, hardcode>
- Dropdown load 2 giá trị:
+ ""Value"" - ""Enum Code"" = Ton (Tính theo khối lượng) - TON
+ ""Value"" - ""Enum Code"" = Trip (Tính theo chuyến) - TRIP",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_457,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Phương thức bốc xếp""
Group 6 ""Thông tin bốc xếp""","Chọn cbo ""Phương thức bốc xếp""",Dữ liệu bên trong cbo được sắp xếp theo thứ tự alphabet,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_458,,"Kiểm tra hiển thị dữ liệu trong cbo ""Phương thức bốc xếp""
Group 6 ""Thông tin bốc xếp""","Chọn ""Phương thức bốc xếp"" = Ton, Trip",Single select dropdown (cbo ko có search),7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_459,,"Kiểm tra dữ liệu load ở cbo ""Bảng giá bốc xếp""
Group 6 ""Thông tin bốc xếp""","Chọn cbo ""Bảng giá bốc xếp""","- Dữ liệu load từ màn hình ""<Porter Price List>"": Điều kiện chỉ lấy các record có ""Trạng thái"" = Active
- Cho phép lại

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: unit
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_460,,"Kiểm tra sắp xếp dữ liệu load ở cbo ""Bảng giá bốc xếp""
Group 6 ""Thông tin bốc xếp""","Chọn cbo ""Bảng giá bốc xếp""","- Sắp xếp ưu tiên theo thứ tự:
+ Dữ liệu được sắp xếp theo thứ tự giảm dần theo thời gian tạo
+ Dữ liệu được tạo sau sẽ nằm ở trên

- Dữ liệu load theo: <Danh sách từ bảng có sẵn>
+ Database: digiretail_master_data
+ Schemas: bhc
+ Table: unit
+ WHERE:
     ++ ""status"" = ACTIVE
     ++ ""is_deleted"" = false
+ ORDER BY ""created_at"" DESC",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_461,,"Kiểm tra chọn dữ liệu ở cbo ""Bảng giá bốc xếp""
Group 6 ""Thông tin bốc xếp""","Chọn multi ""Bảng giá bốc xếp"" = A, B",Single-select (cbo có search),7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_462,,"Kiểm tra search placeholder trong cbo ""Bảng giá bốc xếp""
Group 6 ""Thông tin bốc xếp""","Chọn cbo ""Bảng giá bốc xếp""","Placeholder ""Tìm theo mã bảng giá bốc xếp hoặc tên bảng giá bốc xếp""",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_463,,"Kiểm tra hiển thị icon xóa (x) trong các field cbo required
Group 1 ""Thông tin chung""","- Chọn dữ liệu trong các field cbo: ""Người phụ trách"", ""Loại báo giá"", ""Khách hàng"", ""Tiền tệ"", ""Bảng giá"", ""Pháp nhân bán hàng""
- Focus vào field","Field cbo là required => Không hiển thị icon xóa (x) bên trong field
** Hiện tại icon xóa (x) bên trong field",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_464,,"Kiểm tra hiển thị icon xóa (x) trong các field cbo not required
Group 1 ""Thông tin chung""","- Chọn dữ liệu trong field cbo: ""Sales phụ trách""
- Focus vào field",Field cbo là not required => Hiển thị icon xóa (x) bên trong field,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_465,,"Kiểm tra hiển thị icon xóa (x) trong các field cbo required
Group 2 ""Thông tin khách hàng""","- Chọn dữ liệu trong field cbo: N/A
- Focus vào field","Field cbo là required => Không hiển thị icon xóa (x) bên trong field => N/A
** Hiện tại icon xóa (x) bên trong field",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_466,,"Kiểm tra hiển thị icon xóa (x) trong các field cbo not required
Group 2 ""Thông tin khách hàng""","- Chọn dữ liệu trong field cbo: N/A
- Focus vào field",Field cbo là not required => Hiển thị icon xóa (x) bên trong field => N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_467,,"Kiểm tra hiển thị icon xóa (x) trong các field cbo required
Group 3 ""Thông tin thanh toán""","- Chọn dữ liệu trong field cbo: N/A
- Focus vào field","Field cbo là required => Không hiển thị icon xóa (x) bên trong field => N/A
** Hiện tại icon xóa (x) bên trong field",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_468,,"Kiểm tra hiển thị icon xóa (x) trong các field cbo not required
Group 3 ""Thông tin thanh toán""","- Chọn dữ liệu trong field cbo: N/A
- Focus vào field",Field cbo là not required => Hiển thị icon xóa (x) bên trong field => N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_469,,"Kiểm tra hiển thị icon xóa (x) trong các field cbo required
Group 4 ""Thông tin xuất hóa đơn""","- Chọn dữ liệu trong field cbo: N/A
- Focus vào field","Field cbo là required => Không hiển thị icon xóa (x) bên trong field => N/A
** Hiện tại icon xóa (x) bên trong field",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_470,,"Kiểm tra hiển thị icon xóa (x) trong các field cbo not required
Group 4 ""Thông tin xuất hóa đơn""","- Chọn dữ liệu trong các field cbo: ""Ngân hàng tham chiếu tỷ giá"", ""Tỷ giá tham chiếu""
- Focus vào field",Field cbo là not required => Hiển thị icon xóa (x) bên trong field,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_471,,"Kiểm tra hiển thị icon xóa (x) trong các field cbo required
Group 5 ""Thông tin vận chuyển""","- Chọn dữ liệu trong các field cbo: ""Đơn vị tổ chức giao hàng"" (required khi ""WMS"" = true), ""Tổ chức xuất hàng"" (required khi ""WMS"" = false), ""Kho xuất hàng"" (required khi ""WMS"" = true), ""Địa chỉ giao hàng"", ""Người nhận hàng"", ""Phương thức giao hàng"" (required khi ""Yêu cầu vận chuyển"" = true), ""Xe vận chuyển"" (required khi ""Phương thức giao hàng"" = Tính theo chuyến (Trip)), ""Đơn vị vận chuyển"" (required khi ""Phương thức giao hàng"" = Tính theo khối lượng (Ton))","Field cbo là required => Không hiển thị icon xóa (x) bên trong field
** Hiện tại icon xóa (x) bên trong field",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
